citation_item,item_count,frequency
10.1007/978-1-4614-3597-6,2,0.26
"M.C. Daconta, 2003",2,0.26
10.1108/14637151311308321,2,0.26
10.1016/j.ijpe.2006.07.009,2,0.26
10.1080/17517575.2013.867543,2,0.26
"brocke, 2014",2,0.26
10.1007/s13198-011-0051-z,2,0.26
10.1002/0471741442,2,0.26
"G. Alonso, 2004",2,0.26
"Extended drill-down operator: Digging into the structure of performance indicators, diamantini, 2015",2,0.26
10.1007/s00450-009-0057-9,2,0.26
10.1016/S0164-1212(01)00039-5,2,0.26
10.1016/j.datak.2007.06.007,2,0.26
"Defining manufacturing performance indicators using semantic ontology representation, pitzos, 2012",2,0.26
"Techniques of data mining in healthcare: a review, ahmad, 2015, 10.5120/21307-4126",2,0.26
"Special Section: Toward a Theory of Business Process Change Management, kettinger, 1995, 10.1080/07421222.1995.11518068",2,0.26
10.2478/v10143-011-0004-7,2,0.26
10.2753/MIS0742-1222240302,2,0.26
"WMP van der Aalst, 2011, 10.1016/j.is.2010.09.001",2,0.26
10.1007/978-3-319-98648-7_29,2,0.26
10.1016/j.is.2015.04.004,2,0.26
"obe, 2014",2,0.26
10.1016/j.future.2015.04.011,2,0.26
"yin, 2009",2,0.26
"simone, 2015",2,0.26
10.1108/bpmj.2004.15710baa.001,2,0.26
10.1017/S0269888910000032,2,0.26
"N Martin, 2021, 10.1007/s12599-021-00720-0",2,0.26
10.17485/ijst/2016/v9i16/88524,2,0.26
"Reconstructing the giant: On the importance of rigour in documenting the literature search process, vom brocke, 2009",2,0.26
"MD Myers, 2007, 10.1016/j.infoandorg.2006.11.001",2,0.26
10.1016/j.ins.2009.09.019,2,0.26
"L Măruşter, 2009, 10.1007/s10115-009-0224-0",2,0.26
"A Awad, 2009",2,0.26
"I DeToro, 1997",2,0.26
"M El Kharbili, 2008",2,0.26
"RK Yin, 2018",2,0.26
"Object Management Group, 2011",2,0.26
"A Kaplan, 2019, 10.1016/j.bushor.2018.08.004",2,0.26
"M Lacity, 2016",2,0.26
10.21236/ADA263403,2,0.26
"WMP van der Aalst, 2018, 10.1007/s12599-018-0542-4",2,0.26
"T Bucher, 2007, 10.1007/978-0-387-73947-2_5",2,0.26
"C Coombs, 2020, 10.1016/j.jsis.2020.101600",2,0.26
"DL Goodhue, 1995, 10.2307/249689",2,0.26
"FD Davis, 1989, 10.1287/mnsc.35.8.982",2,0.26
"A Burton-Jones, 2006, 10.1287/isre.1060.0096",2,0.26
"F Mannhardt, 2019, 10.1007/s12599-019-00613-3",2,0.26
"KM Eisenhardt, 1989, 10.2307/258557",2,0.26
"Enterprise resource planning: Business needs and technologies, Rao, 2000, 10.1108/02635570010286078",2,0.26
"RJB Vanwersch, 2016, 10.1007/s12599-015-0417-x",2,0.26
"D Parmenter, 2010",2,0.26
10.1007/978-3-030-58779-6_14,2,0.26
"S Zelt, 2018, 10.1108/BPMJ-05-2016-0102",2,0.26
1992,2,0.26
"WMP van der Aalst, 2003, 10.1016/S0169-023X(03)00066-1",2,0.26
10.1108/14637151111122310,2,0.26
10.1109/ICWS.2010.116,2,0.26
"W van der Aalst, 2016, 10.1007/978-3-662-49851-4",2,0.26
"krause, 2005",2,0.26
"Lacity MC, 1993",2,0.26
"AE Akgün, 2020",2,0.26
"C Oprean, 2014",2,0.26
10.1038/sj.jors.2600967,2,0.26
10.1007/978-3-540-73597-7_44,2,0.26
France R.,2,0.26
10.1007/978-3-540-69100-6_31,2,0.26
10.1007/978-3-319-48472-3_17,2,0.26
10.1145/1985793.1985882,2,0.26
10.1108/BPMJ-03-2013-0035,2,0.26
10.1108/BPMJ-04-2013-0050,2,0.26
10.1145/219717.219748,2,0.26
10.1108/BPMJ-06-2013-0074,2,0.26
10.1108/eb040103,2,0.26
10.3115/v1/D14-1162,2,0.26
"A Osterwalder, 2010",2,0.26
"A Rogge-Solti, 2015, 10.1016/j.is.2015.04.004",2,0.26
"J Recker, 2010, 10.1108/14637151011018001",2,0.26
"H Schonenberg, 2008, 10.1007/978-3-540-85758-7_7",2,0.26
10.1080/10580530801941504,2,0.26
"A Neely, 2001, 10.1108/13683040110385142",2,0.26
10.1509/jmkg.68.1.1.24036,2,0.26
10.1287/isre.3.1.60,2,0.26
10.2307/258557,2,0.26
"Dumas Marlon, 2013",2,0.26
10.1007/978-3-642-30359-3_7,2,0.26
10.1016/j.eswa.2010.12.012,2,0.26
10.1007/3-540-36456-0_24,2,0.26
10.2307/249008,2,0.26
10.1145/2801948.2802040,2,0.26
"J Kirakowski, 1993, 10.1111/j.1467-8535.1993.tb00076.x",2,0.26
"J Krogstie, 2006, 10.1057/palgrave.ejis.3000598",2,0.26
"OI Lindland, 1994, 10.1109/52.268955",2,0.26
"D Moody, 2009, 10.1109/TSE.2009.67",2,0.26
"J Mylopoulos, 1992",2,0.26
10.1007/978-3-642-01982-1_6,2,0.26
"M Strembeck, 2009, 10.1002/spe.936",2,0.26
"J Becker, 2010",2,0.26
10.4204/EPTCS.69.5,2,0.26
10.1016/S0925-5273(98)00201-1,2,0.26
10.1080/0954412007035,2,0.26
10.1108/01443570010353086,2,0.26
10.1108/01409170710722955,2,0.26
10.2307/256972,2,0.26
10.1016/j.datak.2018.04.008,2,0.26
10.1023/A:1013856421897,2,0.26
"Automation of the process of handling enquiries concerning information constituting a bank secret, Wojciechowska-Filipek, 2019, 10.21511/bbs.14(3).2019.15",2,0.26
10.2118/188962-MS,2,0.26
10.1002/1097-0266(200101)22:2<125::AID-SMJ150>3.0.CO;2-H,2,0.26
10.2118/188348-MS,2,0.26
"J Jeston, 2014, 10.4324/9780203081327",2,0.26
"Design and natural science research on information technology, March, 1995, 10.1016/0167-9236(94)00041-2",2,0.26
"Robotic process automation for auditing, Moffitt, 2018, 10.2308/jeta-10589",2,0.26
"Robotic Process Automation: Contemporary themes and challenges, Syed, 2020, 10.1016/j.compind.2019.103162",2,0.26
"IH Witten, 2005",2,0.26
"H Blockeel, 1998, 10.1016/S0004-3702(98)00034-4",2,0.26
"Putting the balanced scorecard to work, kaplan, 1993",2,0.26
10.1108/14691930310472839,2,0.26
10.1109/CEC.2009.71,2,0.26
10.1007/978-3-642-12186-9_39,2,0.26
10.1016/j.infsof.2014.09.004,2,0.26
"R Dijkman, 2011, 10.1016/j.is.2010.09.006",2,0.26
"J Gordijn, 2001, 10.1109/5254.941353",2,0.26
10.21236/ADA235785,2,0.26
10.1007/3-540-45705-4_19,2,0.26
10.1016/S0048-7333(00)00110-4,2,0.26
"E Frese, 1995, 10.1007/978-3-663-14777-0",2,0.26
"M Gaitanides, 1983",2,0.26
10.3115/1073083.1073110,2,0.26
"M Hammer, 2010",2,0.26
"P Mertens, 1996",2,0.26
"F Nordsieck, 1931",2,0.26
10.1109/REBPM.2014.6890734,2,0.26
"T Schmiedel, 2020, 10.1016/j.im.2019.103175",2,0.26
10.1145/1462802.1462809,2,0.26
10.2118/183421-MS,2,0.26
"M Kohlbacher, 2013, 10.1108/14637151311308303",2,0.26
10.1145/583890.583893,2,0.26
10.1007/978-3-642-20862-1_7,2,0.26
"M. Weiss, 2005, 10.4018/jebr.2005070104",2,0.26
"T Palpanas, 2007, 10.1007/s10796-007-9032-9",2,0.26
10.1007/3-540-45816-6_22,2,0.26
10.4018/jdwm.2009070101,2,0.26
10.1017/CBO9780511809071,2,0.26
10.1007/978-3-540-75183-0_13,2,0.26
10.1007/978-3-642-24849-8_7,2,0.26
"D. Amyot, 2010, 10.1002/int.20433",2,0.26
"F Taymouri, 2021",2,0.26
"I Benbasat, 1987, 10.2307/248684",2,0.26
"Drools Fusion: Complex Event Processor, 0",2,0.26
10.1007/978-3-642-45005-1_60,2,0.26
"Activiti BPM Platform, 0",2,0.26
10.1007/978-3-642-00416-2_15,2,0.26
10.1016/j.infsof.2008.02.006,2,0.26
10.5220/0009979200050012,2,0.26
10.1007/978-3-540-88564-1_51,2,0.26
"A. Pourshahid, 2009, 10.1007/s10660-009-9039-z",2,0.26
10.1007/978-3-642-38709-8_6,2,0.26
10.1108/14637150710740455,2,0.26
10.1109/EDOC.2008.43,2,0.26
10.1007/978-3-642-28714-5_27,2,0.26
