item,count,f
"10.1016/j.is.2018.01.010",1,0.13
"10.1016/j.jairtraman.2008.04.010",1,0.13
"10.1016/j.jfineco.2008.07.005",1,0.13
"10.1016/j.jocs.2010.12.007",1,0.13
"10.1016/j.joi.2017.08.007",1,0.13
"10.1016/j.jom.2005.07.002",1,0.13
"10.1016/j.jtbi.2011.10.004",1,0.13
"10.1016/j.knosys.2011.12.003",1,0.13
"10.1016/j.lrp.2010.03.002",1,0.13
"10.1016/j.mar.2012.04.001",1,0.13
"10.1016/j.matpr.2022.03.158",1,0.13
"10.1016/j.omega.2004.08.002",1,0.13
"10.1016/j.procs.2017.11.099",1,0.13
"10.1016/j.proeng.2014.02.233",1,0.13
"10.1016/j.promfg.2019.04.055",1,0.13
"10.1016/j.rcim.2010.12.006",1,0.13
"10.1016/j.ress.2010.11.009",1,0.13
"10.1016/j.ress.2021.107951",1,0.13
"10.1016/j.sbspro.2012.06.619",1,0.13
"10.1016/j.sbspro.2015.11.537",1,0.13
"10.1016/j.simpat.2005.01.006",1,0.13
"10.1016/j.techfore.2018.07.033",1,0.13
"10.1016/j.tourman.2009.08.012",1,0.13
"10.1016/j.trb.2004.04.004",1,0.13
"10.1016/j.websem.2009.05.004",1,0.13
"10.1016/j.ymssp.2008.12.006",1,0.13
"10.1016/s0007-6813(05)80064-3",1,0.13
"10.1016/s0024-6301(97)90248-x",1,0.13
"10.1016/s0167-9236(02)00019-2",1,0.13
"10.1016/s0305-0483(00)00022-0",1,0.13
"10.1016/s0306-4379(99)00010-1",1,0.13
"10.1016/s0377-2217(00)00292-7",1,0.13
"10.1016/s0377-2217(03)00179-6",1,0.13
"10.1016/s0925-5273(03)00092-6",1,0.13
"10.1016/s0925-5273(03)00102-6",1,0.13
"10.1016/s0925-5273(96)00080-1",1,0.13
"10.1016/s0926-5805(03)00006-2",1,0.13
"10.1016/s1567-8326(00)00004-7",1,0.13
"10.1017/s0269888900007797",1,0.13
"10.1021/acs.iecr.9b01984",1,0.13
"10.1046/j.1365-2575.2000.00075.x",1,0.13
"10.1051/e3sconf/202125809012",1,0.13
"10.1051/matecconf/201819305065",1,0.13
"10.1056/nejmoa1703058",1,0.13
"10.1056/nejmp1203427",1,0.13
"10.1057/ejis.2008.37",1,0.13
"10.1057/jittc.2016.4",1,0.13
"10.1057/palgrave.jors.2602619",1,0.13
"10.1080/00140139108964855",1,0.13
"10.1080/00207540010004287",1,0.13
"10.1080/00207543.2018.1475762",1,0.13
"10.1080/01621459.1976.10481540",1,0.13
"10.1080/07421222.1995.11518072",1,0.13
"10.1080/07421222.1997.11518156",1,0.13
"10.1080/07421222.1999.11518249",1,0.13
"10.1080/09511929108944496",1,0.13
"10.1080/09537280701546880",1,0.13
"10.1080/0960085x.2020.1740618",1,0.13
"10.1080/10580530802384613",1,0.13
"10.1080/10580531003708378",1,0.13
"10.1080/1331677x.2017.1355256",1,0.13
"10.1080/1463922021000049971",1,0.13
"10.1080/14783363.2015.1081812",1,0.13
"10.1080/17517575.2012.747002",1,0.13
"10.1080/17517575.2013.867543",1,0.13
"10.1088/0964-1726/19/5/055011",1,0.13
"10.1088/1755-1315/548/2/022092",1,0.13
"10.1093/oxfordjournals.oep.a042181",1,0.13
"10.1097/00115514-201209000-00007",1,0.13
"10.1108/01443570310476645",1,0.13
"10.1108/01443570510626916",1,0.13
"10.1108/01443579710171190",1,0.13
"10.1108/02635571211210031",1,0.13
"10.1108/02656719510080604",1,0.13
"10.1108/02656719910249829",1,0.13
"10.1108/02686900310476882",1,0.13
"10.1108/09544780210447474",1,0.13
"10.1108/09564239810228849",1,0.13
"10.1108/09566169710166557",1,0.13
"10.1108/13552510910961110",1,0.13
"10.1108/13673271011015534",1,0.13
"10.1108/13683040911006783",1,0.13
"10.1108/14635770210442725",1,0.13
"10.1108/14635770910972423",1,0.13
"10.1108/14637150010325444",1,0.13
"10.1108/14637150010325453",1,0.13
"10.1108/14637150110392782",1,0.13
"10.1108/14637150310484481",1,0.13
"10.1108/14637150510630837",1,0.13
"10.1108/14637150810864943",1,0.13
"10.1108/14637151011017985",1,0.13
"10.1108/14637151011065946",1,0.13
"10.1108/14637151111122347",1,0.13
"10.1108/14637151111122383",1,0.13
"10.1108/14637151311319932",1,0.13
"10.1108/14637159710161585",1,0.13
"10.1108/14684520210432459",1,0.13
"10.1108/17410380910929592",1,0.13
"10.1108/17410400910938878",1,0.13
"10.1108/17410401211249175",1,0.13
"10.1108/17511060710817249",1,0.13
"10.1108/17542731111139464",1,0.13
"10.1108/bpmj-08-2018-0237",1,0.13
"10.1108/eum0000000001236",1,0.13
"10.1108/jeim-01-2016-0026",1,0.13
"10.1108/md-05-2017-0476",1,0.13
"10.1108/sd-12-2013-0104",1,0.13
"10.1108/tqm-04-2019-0092",1,0.13
"10.1109/4236.991449",1,0.13
"10.1109/69.895803",1,0.13
"10.1109/access.2019.2945911",1,0.13
"10.1109/access.2019.2953185",1,0.13
"10.1109/aeect.2011.6132523",1,0.13
"10.1109/ams.2007.40",1,0.13
"10.1109/cbi.2013.24",1,0.13
"10.1109/cloud.2011.59",1,0.13
"10.1109/compsac.2008.147",1,0.13
"10.1109/compsac.2008.235",1,0.13
"10.1109/cscwd.2012.6221808",1,0.13
"10.1109/dexa.2005.58",1,0.13
"10.1109/dsaa.2018.00018",1,0.13
"10.1109/ecows.2010.10",1,0.13
"10.1109/ecows.2011.22",1,0.13
"10.1109/edoc.2008.29",1,0.13
"10.1109/edocw.2011.21",1,0.13
"10.1109/emr.2002.1167284",1,0.13
"10.1109/es.2016.10",1,0.13
"10.1109/hicss.2004.1265061",1,0.13
"10.1109/hicss.2011.271",1,0.13
"10.1109/hicss.2011.90",1,0.13
"10.1109/hicss.2012.608",1,0.13
"10.1109/hicss.2015.109",1,0.13
"10.1109/hicss.2016.503",1,0.13
"10.1109/icac.2005.24",1,0.13
"10.1109/icde.2000.839413",1,0.13
"10.1109/icebe.2007.11",1,0.13
"10.1109/icgse.2007.19",1,0.13
"10.1109/icmla.2011.99",1,0.13
"10.1109/icse.2015.134",1,0.13
"10.1109/icstc.2018.8528712",1,0.13
"10.1109/icws.2006.52",1,0.13
"10.1109/ipdps.2002.1016632",1,0.13
"10.1109/isda.2015.7489263",1,0.13
"10.1109/itecha.2015.7317363",1,0.13
"10.1109/jproc.2016.2521931",1,0.13
"10.1109/kingn.2008.4542266",1,0.13
"10.1109/mc.2007.400",1,0.13
"10.1109/mc.2009.335",1,0.13
"10.1109/mic.2002.1067742",1,0.13
"10.1109/mic.2010.59",1,0.13
"10.1109/mic.2011.142",1,0.13
"10.1109/mitp.2016.115",1,0.13
"10.1109/ms.2003.1231147",1,0.13
"10.1109/noms.2004.1317767",1,0.13
"10.1109/quatic.2010.19",1,0.13
"10.1109/re.2013.6636711",1,0.13
"10.1109/scc.2010.48",1,0.13
"10.1109/seaa.2009.87",1,0.13
"10.1109/sera.2007.130",1,0.13
"10.1109/simul.2009.19",1,0.13
"10.1109/soca.2007.6",1,0.13
"10.1109/sose.2006.19",1,0.13
"10.1109/tcc.2015.2487965",1,0.13
"10.1109/tnet.2005.850219",1,0.13
"10.1109/tpami.2013.50",1,0.13
"10.1109/tpwrs.1986.4334914",1,0.13
"10.1109/tse.2004.11",1,0.13
"10.1109/tsmca.2003.819498",1,0.13
"10.1109/tsmca.2004.824871",1,0.13
"10.1109/tvcg.2006.84",1,0.13
"10.1109/vlhcc.2008.4639094",1,0.13
"10.1109/wsc.1998.744910",1,0.13
"10.1109/wsc.2002.1172871",1,0.13
"10.1109/wsc.2005.1574301",1,0.13
"10.1109/wsc.2005.1574567",1,0.13
"10.1109/wsc.2008.4736273",1,0.13
"10.1109/wsc.2013.6721749",1,0.13
"10.1109/wsc.2018.8632431",1,0.13
"10.1109/wsc57314.2022.10015246",1,0.13
"10.1111/ijsa.12223",1,0.13
"10.1111/j.1365-2575.1993.tb00127.x",1,0.13
"10.1111/j.1365-2575.2004.00162.x",1,0.13
"10.1111/j.1540-6261.1972.tb01311.x",1,0.13
"10.1111/j.1540-6261.1992.tb04398.x",1,0.13
"10.1111/j.1742-6723.2006.00872.x",1,0.13
"10.1111/j.1745-493x.2000.tb00084.x",1,0.13
"10.1111/poms.13024",1,0.13
"10.1111/poms.13356",1,0.13
"10.1142/s0218843005001225",1,0.13
"10.1145/1014052.1014066",1,0.13
