item,count,f
"Bhattacharjee BIPLAB",1,0.13
"Bhattacharya KAUSTAV",1,0.13
"Bianchi I.S.",1,0.13
"Bianchi Isaías SCALABRIN",1,0.13
"Bijvank MARCO",1,0.13
"Biller BAHAR",1,0.13
"Biller STEPHAN",1,0.13
"Binasova V.",1,0.13
"Bislimovska BOJANA",1,0.13
"Bisogno S.",1,0.13
"Bitkowska A.",1,0.13
"Bitsaki M.",1,0.13
"Blaschke Johannes P.",1,0.13
"Blasini JOSEF",1,0.13
"Blattner D.",1,0.13
"Bobkov V.N.",1,0.13
"Bodesova A.E.",1,0.13
"Boier-Martin IOANA",1,0.13
"Bona G.D.",1,0.13
"Bonci A.",1,0.13
"Bonini M.",1,0.13
"Borges Evando SOUZA",1,0.13
"Borrego D.",1,0.13
"Boscarioli CLODIS",1,0.13
"Bose R.P.J.C.",1,0.13
"Bosilj Vukšić V.",1,0.13
"Bosilj-Vuksic V.",1,0.13
"Bosilj-Vukšić V.",1,0.13
"Bosse JACYARA",1,0.13
"Botta-Genoulaz V.",1,0.13
"Bouanan Y.",1,0.13
"Bouanan YOUSSEF",1,0.13
"Boufaied AMINE",1,0.13
"Boukadi KHOULOUD",1,0.13
"Boukhayma KHAOULA",1,0.13
"Bourne M.",1,0.13
"Bouwman HARRY",1,0.13
"Boyle Iain M.",1,0.13
"Bozhko L.",1,0.13
"Bozzon ALESSANDRO",1,0.13
"Brady Thomas F.",1,0.13
"Brajer-Marczak R.",1,0.13
"Brambilla MARCO",1,0.13
"Branch D.",1,0.13
"Brandic IVONA",1,0.13
"Brandt JORDAN",1,0.13
"Brandt TOBIAS",1,0.13
"Braunwarth Kathrin S.",1,0.13
"Brenner WALTER",1,0.13
"Brick Timothy R.",1,0.13
"Britel MOHAMMED-REDA",1,0.13
"Brogi ANTONIO",1,0.13
"Brown A.E.",1,0.13
"Brown ROSS",1,0.13
"Brunk J.",1,0.13
"Brunner Jens O.",1,0.13
"Brusakova I. A.",1,0.13
"Brás J.C.",1,0.13
"Bub UDO",1,0.13
"Bubenik P.",1,0.13
"Bucchiarone ANTONIO",1,0.13
"Buchmann Robert ANDREI",1,0.13
"Buchner STEFAN",1,0.13
"Buckley STEVE",1,0.13
"Buder J.",1,0.13
"Buhl Hans ULRICH",1,0.13
"Buhmann KARIN",1,0.13
"Bukhsh F.A.",1,0.13
"Burnay CORENTIN",1,0.13
"Buxmann PETER",1,0.13
"Byrd Roy J.",1,0.13
"Böhm MARKUS",1,0.13
"Cabral L.",1,0.13
"Caforio ANTONIO",1,0.13
"Caione ADRIANA",1,0.13
"Calabrò ANTONELLO",1,0.13
"Caldwell Barrett S.",1,0.13
"Caldwell CHARLES",1,0.13
"Calero C.",1,0.13
"Calogiuri TOBIA",1,0.13
"Cameranesi MARCO",1,0.13
"Camilovic S.",1,0.13
"Campos A.C.S.M.",1,0.13
"Campos Lucila m. S.",1,0.13
"Campos Z.",1,0.13
"Canales-Huaman Daniela STEISY",1,0.13
"Candiello A.",1,0.13
"Cao DAHAI",1,0.13
"Cao HONGMEI",1,0.13
"Capek J.",1,0.13
"Cappelli C.",1,0.13
"Carlo PELLEGRINO",1,0.13
"Carlo Rossa hauck JEAN",1,0.13
"Carlsson Sven A.",1,0.13
"Carmo A.",1,0.13
"Carnuccio M.",1,0.13
"Carrasco-Morales Karin ALEXANDRA",1,0.13
"Carro MANUEL",1,0.13
"Casini L.",1,0.13
"Castellanos MALU",1,0.13
"Caurio C.",1,0.13
"Cedillo-Campos M.G.",1,0.13
"Celandroni NEDO",1,0.13
"Celino I.",1,0.13
"Cella I.",1,0.13
"Ceravolo P.",1,0.13
"Ceroni José A.",1,0.13
"Cesario E.",1,0.13
"Cestari J.M.A.P.",1,0.13
"Chalikias KOSTAS",1,0.13
"Chan ALLEN",1,0.13
"Chan Kern CHERN",1,0.13
"Chan Lai P.",1,0.13
"Chan Yolande E",1,0.13
"Chandru V.",1,0.13
"Chang H.",1,0.13
"Chang HANGBAE",1,0.13
"Chaouni Samia BENABDELLAH",1,0.13
"Chassiakos A.P.",1,0.13
"Chavusholu T.",1,0.13
"Che HAIYING",1,0.13
"Chehami A.",1,0.13
"Cheikhrouhou NAOUFEL",1,0.13
"Chen C.-P.",1,0.13
"Chen CHUN-HUNG",1,0.13
"Chen H.-J.",1,0.13
"Chen HONG-MEI",1,0.13
"Chen JINGCHAO",1,0.13
"Chen LIANG",1,0.13
"Chen MINGZHOU",1,0.13
"Chen P.",1,0.13
"Chen PENGFEI",1,0.13
"Chen X.",1,0.13
"Chen XI",1,0.13
"Chen YONG",1,0.13
"Cheng Keh-Shin F.",1,0.13
"Cheng LONG",1,0.13
"Cherifi Chantal BONNER",1,0.13
"Cherni J.",1,0.13
"Chhor J.",1,0.13
"Chien-Chih YU",1,0.13
"Chieu T.C.",1,0.13
"Chiheb RADOUANE",1,0.13
"Chinnam Ratna BABU",1,0.13
"Chipev B.",1,0.13
"Chiu A.-A.",1,0.13
"Cho G.",1,0.13
"Cho M.",1,0.13
"Cho SHINYOUNG",1,0.13
"Choi Bong JUN",1,0.13
"Choi Byoung K.",1,0.13
"Choi S.H.",1,0.13
"Choi SUNG-KYU",1,0.13
"Chong S.",1,0.13
"Choong K.K.",1,0.13
"Chowdhary PAWAN",1,0.13
"Chowdhury Sanchari KAR",1,0.13
"Christiaanse ROB",1,0.13
"Christian L.",1,0.13
"Christy E.",1,0.13
"Chung Chun HEI",1,0.13
"Chung GU-HWAN",1,0.13
"Chytas PANAGIOTIS",1,0.13
"Cibulova P.",1,0.13
"Ciccio C.D.",1,0.13
"Clarner ROSEMARIE",1,0.13
"Cleven A.",1,0.13
"Cleven ANNE",1,0.13
"Cleven Anne KATHARINA",1,0.13
"Colina-Alvarez J.A.",1,0.13
"Colley MARK",1,0.13
"Combi CARLO",1,0.13
"Comendador F.G.",1,0.13
"Compagnucci I.",1,0.13
"Comuzzi M.",1,0.13
"Coners ANDRÉ",1,0.13
"Confort Valdemar t. F.",1,0.13
"Conforti R.",1,0.13
"Constantopoulos PANOS",1,0.13
"Corsi A.M.",1,0.13
"Cortesi A.",1,0.13
"Couckuyt D.",1,0.13
"Coudert T.",1,0.13
"Coulthard PHIL",1,0.13
"Cruz John martin C.",1,0.13
"Cuccaro PATRIZIA",1,0.13
"Cui LEI",1,0.13
"Cumming J.",1,0.13
"Cutrì L.",1,0.13
"Cuzzocrea ALFREDO",1,0.13
"Czvetkó T.",1,0.13
"Cámara JAVIER",1,0.13
"Cóccola Mariana E.",1,0.13
"D'ambrogio A.",1,0.13
"D'onofrio GAETANO",1,0.13
"Da Cunha paulo RUPINO",1,0.13
"Da Luz A.T.M.",1,0.13
"Da Silva J.I.",1,0.13
"Da Silva M.M.",1,0.13
"Dachyar M.",1,0.13
"Daher S.F.D.",1,0.13
"Dai Q.",1,0.13
"Daley S. KEVIN",1,0.13
"Dalisova NATALYA",1,0.13
"Dalkiran EVRIM",1,0.13
"Dam HOA",1,0.13
"Damiani ERNESTO",1,0.13
"Damij N.",1,0.13
"Damij T.",1,0.13
"Danesh Mohammad H.",1,0.13
"Dang Y.",1,0.13
"Daniel FLORIAN",1,0.13
"Danov BOGDAN",1,0.13
"Danylevych O.",1,0.13
"Darestani S.A.",1,0.13
"Darlow Nicholas JAMES",1,0.13
"Dat Pham THANH",1,0.13
"Davern MICHAEL",1,0.13
"Davila R.S.",1,0.13
"Dayal UMESHWAR",1,0.13
"De Albuquerque J.P.",1,0.13
"De Araújo e silva F.",1,0.13
"De Backer M.",1,0.13
"De Caluwé T.",1,0.13
"De Carvalho P.",1,0.13
"De Lemos ROGÉRIO",1,0.13
"De Lima E.P.",1,0.13
"De Medeiros A.K.A.",1,0.13
"De Oliveira M.P.V.",1,0.13
"De Oliveira juliano LOPES",1,0.13
"De Oliveira lacerda R.T.",1,0.13
"De PRADIPTA",1,0.13
"De Pourcq K.",1,0.13
"De Sá Sousa H.P.",1,0.13
"De Valroger A.",1,0.13
"De Vasconcelos josé BRAGA",1,0.13
"De Weerdt JOCHEN",1,0.13
"Del Carmen molina A.",1,0.13
"Del Valle C.",1,0.13
"Del-Rio-ortega A.",1,0.13
"Del-Río-ortega ADELA",1,0.13
"Delcambre Lois M.L.",1,0.13
"Delen DURSUN",1,0.13
"Delfmann PATRICK",1,0.13
"Delgado-Santos PAULA",1,0.13
"Demirci H.",1,0.13
"Demurjian Steven A.",1,0.13
"Deokar A.V.",1,0.13
"Deravi FARZIN",1,0.13
"Detyna B.",1,0.13
"Detyna J.",1,0.13
"Devis B.",1,0.13
"Dey Anind K.",1,0.13
"Dhavachelvan P.",1,0.13
"Di Ciccio CLAUDIO",1,0.13
"Di Francescomarino CHIARA",1,0.13
"Di Leva A.",1,0.13
"Di Maio F.",1,0.13
"Di Napoli CLAUDIA",1,0.13
"Di Salle AMLETO",1,0.13
"Diamantini C.",1,0.13
"Diaz Garay BERTHA",1,0.13
"Dietrich M.",1,0.13
"Dieu NICOLAS",1,0.13
"Dijkman REMCO",1,0.13
"Dimitriou GERASIMOS",1,0.13
"Ding NAN",1,0.13
"Ding W.",1,0.13
"Dinh Lam PHAM",1,0.13
"Dirnberger-Wild JOHANNES",1,0.13
"Distel BETTINA",1,0.13
"Divakaran SRIKRISHNAN",1,0.13
"Divya A.",1,0.13
"Djafari F.A.",1,0.13
"Djatna TAUFIK",1,0.13
"Djordjevic A.",1,0.13
"Djordjevic M.Z.",1,0.13
"Djurica DJORDJE",1,0.13
"Do Prado leite J.C.S.",1,0.13
"Domingos D.",1,0.13
"Domingue J.",1,0.13
"Domingue JOHN",1,0.13
"Dora P.",1,0.13
"Dorne R.",1,0.13
"Doukkali Abdelaziz S.",1,0.13
"Dragusanu ADRIAN",1,0.13
"Draheim DIRK",1,0.13
"Drissen-Silva M.V.",1,0.13
"Drobek MARC",1,0.13
"Dsouza RIO",1,0.13
"Du LI",1,0.13
"Duan SHIHUI",1,0.13
"Duan YONGRUI",1,0.13
"Dubgorn ALISSA",1,0.13
"Dubinsky YAEL",1,0.13
"Duffy Alex h. B.",1,0.13
"Dultra-De-lima Ronaldo GOMES",1,0.13
"Durán Toro A.",1,0.13
"Dustdar SCHAHRAM",1,0.13
"Dutra A.",1,0.13
"Dwivedi RAJEEV",1,0.13
"Dzemydaitė GIEDRĖ",1,0.13
"Dzemydienė DALĖ",1,0.13
"Dávalos Ricardo VILLARROEL",1,0.13
"Díaz-Gutiérrez D.",1,0.13
"Dürr FRANK",1,0.13
"Eardley A.",1,0.13
"Ebrahimi M.",1,0.13
"Echelmeyer W.",1,0.13
"Eckhardt A.",1,0.13
"Edinger-Schons Laura MARIE",1,0.13
"Edison HENRY",1,0.13
"Edre JOHANN",1,0.13
"Efthymiou V.",1,0.13
"Eggers JULIA",1,0.13
"Eggert MATHIAS",1,0.13
"Eikebrokk T.R.",1,0.13
"Einabadi B.",1,0.13
"El Afia A.",1,0.13
"El Afia ABDELLATIF",1,0.13
"El Hamali S.",1,0.13
"El-Deeb HESHAM",1,0.13
"El-Garaihy W.H.",1,0.13
"Eldarawany AHMED",1,0.13
"Eldin H.A.",1,0.13
"Elhag S.",1,0.13
"Elhami E.",1,0.13
"Eliassen FRANK",1,0.13
"Elkayl MALIKA",1,0.13
"Emmel Silva A.L.",1,0.13
"Engel R.",1,0.13
"Engel ROBERT",1,0.13
"Ensslin S.R.",1,0.13
"Erdem A.S.",1,0.13
"Erek K.",1,0.13
"Erman Erkan T.",1,0.13
"Erraguntla MADHAV",1,0.13
"Escalona María JOSÉ",1,0.13
"Esiefarienrhe Bukohwo MICHAEL",1,0.13
"Esmaeilpour M.",1,0.13
"Espinosa E.",1,0.13
"Estrada-Torres B.",1,0.13
"Estrada-Torres BEDILIA",1,0.13
"Etzion OPHER",1,0.13
"Evanson COLE",1,0.13
"Fabret FRANÇOISE",1,0.13
"Facca F.",1,0.13
"Fahad M.",1,0.13
"Fahland D.",1,0.13
"Fahland DIRK",1,0.13
"Fajri H.",1,0.13
"Fakhrurroja H.",1,0.13
"Falakmasir Mohammad H",1,0.13
"Falcone D.",1,0.13
"Fan PEILEI",1,0.13
"Fan YUSHUN",1,0.13
"Fantinato MARCELO",1,0.13
"Fanty S.",1,0.13
"Farahani B.",1,0.13
"Farfan-Pena HANSELL",1,0.13
"Farrell STEVEN",1,0.13
"Faulkner STÉPHANE",1,0.13
"Fauzi Anas MIFTAH",1,0.13
"Faußer STEFAN",1,0.13
"Fedeli ARIANNA",1,0.13
"Feibert D.C.",1,0.13
"Felicetti A.M.",1,0.13
"Fellmann MICHAEL",1,0.13
"Feng CHENGGONG",1,0.13
"Feng Ming WHEI",1,0.13
"Ferme VINCENZO",1,0.13
"Fernandez PABLO",1,0.13
"Ferreira Alexandre MELLO",1,0.13
"Ferreira Pires L.",1,0.13
"Ferro Duco N.",1,0.13
"Ferro ERINA",1,0.13
"Fettke P.",1,0.13
"Fettke PETER",1,0.13
"Fidge Colin J.",1,0.13
"Fiege LUDGER",1,0.13
"Figueiredo ANA",1,0.13
"Figueroa Jon erickson G.",1,0.13
"Filipowska AGATA",1,0.13
"Fill HANS-GEORG",1,0.13
"Finke A.",1,0.13
"Firdaus T.M.",1,0.13
"Fischer Dominik A.",1,0.13
"Fischer M.",1,0.13
"Fischer ROBIN",1,0.13
"Fischer V.",1,0.13
"Flath Christoph M.",1,0.13
"Fleischmann A.",1,0.13
"Fletcher George h. L.",1,0.13
"Flores Castañeda rosalynn ORNELLA",1,0.13
"Flores Perez ALBERTO",1,0.13
"Flores-Avila F.S.",1,0.13
"Flores-Perez ALBERTO",1,0.13
"Floriano Galimberti MAURÍCIO",1,0.13
"Fogli DANIELA",1,0.13
"Fonseca M.",1,0.13
"Forcina A.",1,0.13
"Forgia CINZIA",1,0.13
"Fornero GIULIO",1,0.13
"Forsgren NICOLE",1,0.13
"Forster A.J.",1,0.13
"Forster Alan J.",1,0.13
"Fortino G.",1,0.13
"Frank J.",1,0.13
"Frank U.",1,0.13
"Frank ULRICH",1,0.13
"Franke J.",1,0.13
"François J.",1,0.13
"Fraternali PIERO",1,0.13
"Fredj MOUNIA",1,0.13
"Freitas ANDRÉ",1,0.13
"Friedman N.L.",1,0.13
"Fromm HELGE",1,0.13
"Front AGNÈS",1,0.13
"Fu Michael C.",1,0.13
"Fu S.S.",1,0.13
"Fugazza C.",1,0.13
"Gaaloul WALID",1,0.13
"Gabryelczvk RENATA",1,0.13
"Gabryelczyk R.",1,0.13
"Gadatsch ANDREAS",1,0.13
"Gagarinskaia G.P.",1,0.13
"Gagarinskii A.V.",1,0.13
"Gal AVIGDOR",1,0.13
"Galal MOHAMED",1,0.13
"Galera-Zarco CARLOS",1,0.13
"Gallotta B.",1,0.13
"Gamio-Valdivia Karina GUIULIANA",1,0.13
"Gao B.",1,0.13
"Garbutt MALCOLM",1,0.13
"Garcia CLEITON",1,0.13
"Garcia H. daniel DIAZ",1,0.13
"García-Alonso J.",1,0.13
"García-García Julián ALBERTO",1,0.13
"Garefalakis ALEXANDROS",1,0.13
"Gargioni LUIGI",1,0.13
"Gargouri F.",1,0.13
"Garmann-Johnsen N.F.",1,0.13
"Gartner W.B.",1,0.13
"Garza-Reyes J.A.",1,0.13
"Gasca R.M.",1,0.13
"Gastaldi M.",1,0.13
"Gates Stephen C.",1,0.13
"Ge M.",1,0.13
"Gebhart M.",1,0.13
"Gemmel P.",1,0.13
"Geneste L.",1,0.13
"Gerrits BERRY",1,0.13
"Gershon M.",1,0.13
"Ghanavati S.",1,0.13
"Ghanavati SEPIDEH",1,0.13
"Ghilic-Micu B.",1,0.13
"Ghiron N. LEVIALDI",1,0.13
"Giaglis George M.",1,0.13
"Giannakopoulos GEORGE",1,0.13
