item,count,f
"Dhingra, 2019, 10.1007/s13198-019-00810-z",1,0.13
"Di Francescomarino, 2018, 10.1007/978-3-319-98648-7_27",1,0.13
"Diamantini, 2014, 10.1007/978-3-662-45563-0_45",1,0.13
"Diansheng Guo, 2006, 10.1109/tvcg.2006.84",1,0.13
"Dijkman, 2008, 10.1016/j.infsof.2008.02.006",1,0.13
"Dinata, 2021, 10.25139/inform.v5i1.2255",1,0.13
"Dmitry, 2021, 10.1051/e3sconf/202125809012",1,0.13
"Dorling, 2008, 10.1109/compsac.2008.235",1,0.13
"Draper, 2014, 10.1002/9781118625590",1,0.13
"Dumas, 2013, 10.1007/978-3-642-33143-5",1,0.13
"Dumeresque, 2014, 10.1108/sd-12-2013-0104",1,0.13
"Eckert, 2009, 10.1007/s00287-009-0329-6 10.5282/ubm/epub.14904",1,0.13
"Eder, 2007, 10.1007/3-540-48738-7_22",1,0.13
"Edvinsson, 2003, 10.1016/s0024-6301(97)90248-x",1,0.13
"Ehm, 2019, 10.1109/wsc.2018.8632431",1,0.13
"El Hadj Amor, 2017, 10.1016/j.procs.2017.11.099",1,0.13
"El-Garaihy, 2021, 10.5267/j.uscm.2021.10.010",1,0.13
"Erol, 2010, 10.1002/smr.460",1,0.13
"Ertel, 2012, 10.1080/01621459.1976.10481540",1,0.13
"Ettl, 2006, 10.1109/dexa.2005.58",1,0.13
"FAMA, 2012, 10.1111/j.1540-6261.1992.tb04398.x",1,0.13
"Fakhfakh, 2011, 10.4018/jssoe.2010070101",1,0.13
"Fazinga, 2020, 10.4067/s0718-50732019000300288",1,0.13
"Fettke, 2006, 10.1007/11678564_44",1,0.13
"Fifield, 2014, 10.4324/9780080942704",1,0.13
"Fill, 2016, 10.1109/hicss.2016.503",1,0.13
"Fiore, 2003, 10.1080/1463922021000049971",1,0.13
"Fleischmann, 2002, 10.1016/s0305-0483(00)00022-0",1,0.13
"Fleischmann, 2014, 10.1007/bf03340797",1,0.13
"Fletcher, 2010, 10.1145/1862919.1862925",1,0.13
"Flurry, 2010, 10.1147/sj.401.0008",1,0.13
"Folan, 2005, 10.1016/j.compind.2005.03.001",1,0.13
"Folino, 2013, 10.1007/978-3-642-41030-7_18",1,0.13
"Franco-Santos, 2012, 10.1016/j.mar.2012.04.001",1,0.13
"Frank, 2011, 10.4018/978-1-59904-054-7.ch006",1,0.13
"Frantzén, 2011, 10.1016/j.rcim.2010.12.006",1,0.13
"Friedrich, 2011, 10.1007/978-3-642-21640-4_36",1,0.13
"Frost, 2008, 10.1016/b978-075064395-5.50003-0",1,0.13
"Fui‐Hoon Nah, 2007, 10.1108/14637150110392782",1,0.13
"Gao, 2006, 10.1109/sose.2006.19",1,0.13
"García-Bañuelos, 2014, 10.1016/j.is.2014.04.006",1,0.13
"Gartner, 2002, 10.1016/0883-9026(90)90023-m",1,0.13
"Gattnar, 2011, 10.1109/edocw.2011.21",1,0.13
"Gebicki, 2013, 10.1007/s10729-013-9251-1",1,0.13
"Gendreau, 2015, 10.1016/j.cor.2015.06.001",1,0.13
"Georgas, 2009, 10.1109/mc.2009.335",1,0.13
"Geppert, 2009, 10.1007/3-540-63516-5_18",1,0.13
"Ghapanchi, 2011, 10.1504/ijbis.2011.042398",1,0.13
